TimeUS,C1,C2,C3,C4
0,1100,1300,1700,1900
20000,1100,1300,1700,1900
40000,1100,1300,1700,1900
60000,1100,1300,1700,1900
80000,1100,1300,1700,1900
100000,1100,1300,1700,1900
120000,1100,1300,1700,1900
140000,1100,1300,1700,1900
160000,1100,1300,1700,1900
180000,1100,1300,1700,1900
200000,1100,1300,1700,1900
220000,1100,1300,1700,1900
240000,1100,1300,1700,1900
260000,1100,1300,1700,1900
280000,1100,1300,1700,1900
300000,1100,1300,1700,1900
320000,1100,1300,1700,1900
340000,1100,1300,1700,1900
360000,1100,1300,1700,1900
380000,1100,1300,1700,1900
400000,1100,1300,1700,1900
420000,1100,1300,1700,1900
440000,1100,1300,1700,1900
460000,1100,1300,1700,1900
480000,1100,1300,1700,1900
500000,1100,1300,1700,1900
520000,1100,1300,1700,1900
540000,1100,1300,1700,1900
560000,1100,1300,1700,1900
580000,1100,1300,1700,1900
600000,1100,1300,1700,1900
620000,1100,1300,1700,1900
640000,1100,1300,1700,1900
660000,1100,1300,1700,1900
680000,1100,1300,1700,1900
700000,1100,1300,1700,1900
720000,1100,1300,1700,1900
740000,1100,1300,1700,1900
760000,1100,1300,1700,1900
780000,1100,1300,1700,1900
800000,1100,1300,1700,1900
820000,1100,1300,1700,1900
840000,1100,1300,1700,1900
860000,1100,1300,1700,1900
880000,1100,1300,1700,1900
900000,1100,1300,1700,1900
920000,1100,1300,1700,1900
940000,1100,1300,1700,1900
960000,1100,1300,1700,1900
980000,1100,1300,1700,1900
1000000,1100,1300,1700,1900
1020000,1100,1300,1700,1900
1040000,1100,1300,1700,1900
1060000,1100,1300,1700,1900
1080000,1100,1300,1700,1900
1100000,1100,1300,1700,1900
1120000,1100,1300,1700,1900
1140000,1100,1300,1700,1900
1160000,1100,1300,1700,1900
1180000,1100,1300,1700,1900
1200000,1100,1300,1700,1900
1220000,1100,1300,1700,1900
1240000,1100,1300,1700,1900
1260000,1100,1300,1700,1900
1280000,1100,1300,1700,1900
1300000,1100,1300,1700,1900
1320000,1100,1300,1700,1900
1340000,1100,1300,1700,1900
1360000,1100,1300,1700,1900
1380000,1100,1300,1700,1900
1400000,1100,1300,1700,1900
1420000,1100,1300,1700,1900
1440000,1100,1300,1700,1900
1460000,1100,1300,1700,1900
1480000,1100,1300,1700,1900
1500000,1100,1300,1700,1900
1520000,1100,1300,1700,1900
1540000,1100,1300,1700,1900
1560000,1100,1300,1700,1900
1580000,1100,1300,1700,1900
1600000,1100,1300,1700,1900
1620000,1100,1300,1700,1900
1640000,1100,1300,1700,1900
1660000,1100,1300,1700,1900
1680000,1100,1300,1700,1900
1700000,1100,1300,1700,1900
1720000,1100,1300,1700,1900
1740000,1100,1300,1700,1900
1760000,1100,1300,1700,1900
1780000,1100,1300,1700,1900
1800000,1100,1300,1700,1900
1820000,1100,1300,1700,1900
1840000,1100,1300,1700,1900
1860000,1100,1300,1700,1900
1880000,1100,1300,1700,1900
1900000,1100,1300,1700,1900
1920000,1100,1300,1700,1900
1940000,1100,1300,1700,1900
1960000,1100,1300,1700,1900
1980000,1100,1300,1700,1900
2000000,1100,1300,1700,1900
