frame,OUT0_us,OUT1_us,OUT2_us,OUT3_us
0,1100,1300,1700,1900
1,1100,1300,1700,1900
2,1100,1300,1700,1900
3,1100,1300,1700,1900
4,1100,1300,1700,1900
5,1100,1300,1700,1900
6,1100,1300,1700,1900
7,1100,1300,1700,1900
8,1100,1300,1700,1900
9,1100,1300,1700,1900
10,1100,1300,1700,1900
11,1100,1300,1700,1900
12,1100,1300,1700,1900
13,1100,1300,1700,1900
14,1100,1300,1700,1900
15,1100,1300,1700,1900
16,1100,1300,1700,1900
17,1100,1300,1700,1900
18,1100,1300,1700,1900
19,1100,1300,1700,1900
20,1100,1300,1700,1900
21,1100,1300,1700,1900
22,1100,1300,1700,1900
23,1100,1300,1700,1900
24,1100,1300,1700,1900
25,1100,1300,1700,1900
26,1100,1300,1700,1900
27,1100,1300,1700,1900
28,1100,1300,1700,1900
29,1100,1300,1700,1900
30,1100,1300,1700,1900
31,1100,1300,1700,1900
32,1100,1300,1700,1900
33,1100,1300,1700,1900
34,1100,1300,1700,1900
35,1100,1300,1700,1900
36,1100,1300,1700,1900
37,1100,1300,1700,1900
38,1100,1300,1700,1900
39,1100,1300,1700,1900
40,1100,1300,1700,1900
41,1100,1300,1700,1900
42,1100,1300,1700,1900
43,1100,1300,1700,1900
44,1100,1300,1700,1900
45,1100,1300,1700,1900
46,1100,1300,1700,1900
47,1100,1300,1700,1900
48,1100,1300,1700,1900
49,1100,1300,1700,1900
50,1100,1300,1700,1900
51,1100,1300,1700,1900
52,1100,1300,1700,1900
53,1100,1300,1700,1900
54,1100,1300,1700,1900
55,1100,1300,1700,1900
56,1100,1300,1700,1900
57,1100,1300,1700,1900
58,1100,1300,1700,1900
59,1100,1300,1700,1900
60,1100,1300,1700,1900
61,1100,1300,1700,1900
62,1100,1300,1700,1900
63,1100,1300,1700,1900
64,1100,1300,1700,1900
65,1100,1300,1700,1900
66,1100,1300,1700,1900
67,1100,1300,1700,1900
68,1100,1300,1700,1900
69,1100,1300,1700,1900
70,1100,1300,1700,1900
71,1100,1300,1700,1900
72,1100,1300,1700,1900
73,1100,1300,1700,1900
74,1100,1300,1700,1900
75,1100,1300,1700,1900
76,1100,1300,1700,1900
77,1100,1300,1700,1900
78,1100,1300,1700,1900
79,1100,1300,1700,1900
80,1100,1300,1700,1900
81,1100,1300,1700,1900
82,1100,1300,1700,1900
83,1100,1300,1700,1900
84,1100,1300,1700,1900
85,1100,1300,1700,1900
86,1100,1300,1700,1900
87,1100,1300,1700,1900
88,1100,1300,1700,1900
89,1100,1300,1700,1900
90,1100,1300,1700,1900
91,1100,1300,1700,1900
92,1100,1300,1700,1900
93,1100,1300,1700,1900
94,1100,1300,1700,1900
95,1100,1300,1700,1900
96,1100,1300,1700,1900
97,1100,1300,1700,1900
98,1100,1300,1700,1900
99,1100,1300,1700,1900
